title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,cluster
Just Dance 2014,PS4,Music,Ubisoft,Ubisoft Paris,7.5,0.47,0.21,0.0,0.18,0.08,2013-11-15,2018-03-08,4
Mario Sports Superstars,3DS,Sports,Nintendo,Namco Bandai Games,6.0,0.46,0.18,0.13,0.12,0.03,2017-03-24,2018-01-20,0
State of Decay 2,XOne,Action-Adventure,Microsoft Studios,Undead Labs,7.0,0.46,0.27,0.0,0.14,0.04,2018-05-22,2018-09-25,3
Hyrule Warriors: Definitive Edition,NS,Action,Nintendo,Omega Force,8.0,0.46,0.21,0.07,0.15,0.03,2018-05-18,2019-12-30,4
L.A. Noire,NS,Adventure,Rockstar Games,Team Bondi,7.9,0.45,0.21,0.0,0.21,0.04,2017-11-14,2018-06-19,4
Lego Batman 3: Beyond Gotham,WiiU,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,7.4,0.45,0.21,0.0,0.21,0.04,2014-11-11,2018-12-01,4
Style Savvy: Styling Star,3DS,Simulation,Nintendo,syn Sophia,8.5,0.45,0.0,0.14,0.29,0.02,2017-12-25,2018-09-05,2
Resistance: Burning Skies,PSV,Shooter,Sony Computer Entertainment,Nihilistic Software,4.8,0.44,0.18,0.02,0.16,0.08,2012-05-29,2018-01-03,0
Shin Megami Tensei: Devil Survivor Overclocked,3DS,Role-Playing,Atlus,Career Soft,7.6,0.44,0.34,0.06,0.01,0.04,2011-08-23,2018-01-14,4
Hey! Pikmin,3DS,Platform,Nintendo,Arzest,6.8,0.44,0.17,0.17,0.08,0.03,2017-07-28,2018-02-03,4
Story of Seasons,3DS,Misc,Xseed Games,Marvelous,7.7,0.44,0.0,0.28,0.15,0.01,2015-03-31,2017-12-30,4
LEGO DC Super-Villains,NS,Action-Adventure,Warner Bros. Interactive Entertainment,Traveller's Tales,7.8,0.44,0.28,0.0,0.12,0.04,2018-10-16,2018-06-04,3
2014 FIFA World Cup Brazil,X360,Sports,EA Sports,EA Canada,7.3,0.44,0.15,0.0,0.25,0.03,2014-04-15,2018-03-22,1
Star Fox: Zero,WiiU,Shooter,Nintendo,Nintendo EPD,6.7,0.44,0.2,0.09,0.12,0.03,2016-04-22,2018-11-18,4
NBA 2K18,NS,Sports,2K Sports,Visual Concepts,7.5,0.43,0.3,0.03,0.06,0.04,2017-09-19,2018-01-05,1
Rocksmith 2014,XOne,Music,Ubisoft,Ubisoft San Francisco,9.0,0.43,0.31,0.0,0.08,0.04,2016-10-04,2018-03-08,2
Doom (2016),NS,Shooter,Bethesda Softworks,id Software,8.2,0.43,0.24,0.01,0.15,0.04,2017-11-10,2018-01-05,2
MLB 14 The Show,PS3,Sports,Sony Computer Entertainment America,SCE San Diego Studio,8.2,0.43,0.35,0.0,0.0,0.08,2014-04-01,2018-03-16,1
Call of Duty: Black Ops II,WiiU,Shooter,Activision,Treyarch,8.6,0.42,0.2,0.0,0.18,0.04,2012-11-18,2018-01-05,2
Call of Duty: Advanced Warfare,PC,Shooter,Activision,Sledgehammer Games,8.6,0.42,0.17,0.0,0.22,0.03,2014-11-04,2018-01-04,2
Nintendo Labo: Toy-Con 03 Vehicle Kit,NS,Racing,Nintendo,Nintendo EPD,7.0,0.41,0.16,0.06,0.15,0.03,2018-09-14,2018-11-19,4
Rocket League,NS,Sports,505 Games,Psyonix Studios,9.2,0.4,0.21,0.0,0.16,0.03,2018-01-16,2018-04-04,1
The Gunstringer,X360,Shooter,Microsoft Studios,Twisted Pixel Games,7.6,0.4,0.26,0.0,0.1,0.04,2011-09-13,2018-09-29,4
LocoRoco,PSP,Platform,Sony Computer Entertainment,SCE Japan Studio,8.1,0.39,0.14,0.16,0.05,0.03,2006-09-05,2018-09-17,2
Farming Simulator 2013,X360,Simulation,Focus Home Interactive,Giants Software,3.0,0.39,0.22,0.0,0.13,0.03,2013-11-19,2018-01-06,0
Just Dance 2014,PS3,Music,Ubisoft,Ubisoft Paris,7.8,0.39,0.17,0.0,0.15,0.07,2013-10-08,2018-03-08,4
Metal Gear Solid: Snake Eater 3D,3DS,Action-Adventure,Konami Digital Entertainment,Konami Computer Entertainment Japan,7.9,0.39,0.15,0.1,0.12,0.02,2012-02-21,2018-08-05,3
Scribblenauts: Unlimited,WiiU,Puzzle,Warner Bros. Interactive Entertainment,5TH Cell,7.0,0.38,0.25,0.0,0.1,0.04,2012-11-18,2018-01-02,4
Phoenix Wright: Ace Attorney - Dual Destinies,3DS,Misc,Unknown,Capcom,8.1,0.38,0.0,0.38,0.0,0.0,2014-01-01,2018-01-04,2
Hatsune Miku: Project Mirai DX,3DS,Misc,Sega,Sega,7.5,0.38,0.2,0.11,0.04,0.03,2015-09-08,2018-05-29,4
Raving Rabbids: Travel in Time 3D,3DS,Platform,Ubisoft,Ubisoft Paris,5.8,0.38,0.11,0.0,0.24,0.04,2011-04-10,2018-01-20,0
Wii Sports Club,WiiU,Sports,Nintendo,Nintendo,6.7,0.38,0.17,0.04,0.14,0.03,2014-07-25,2018-03-14,4
Burnout Paradise Remastered,PS4,Racing,Electronic Arts,Stellar Entertainment,8.0,0.37,0.08,0.01,0.22,0.06,2018-03-16,2018-02-24,2
Batman: Arkham City Armored Edition,WiiU,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,8.6,0.37,0.16,0.0,0.18,0.03,2012-11-18,2018-04-20,2
Minecraft,3DS,Misc,Nintendo,Other Ocean Interactive,6.7,0.37,0.33,0.0,0.0,0.04,2017-11-10,2018-08-05,4
Sonic Lost World,WiiU,Platform,Sega,Sonic Team,6.0,0.37,0.2,0.01,0.13,0.03,2013-10-29,2018-04-07,0
Shin Megami Tensei IV: Apocalypse,3DS,Role-Playing,Atlus,Atlus,8.1,0.37,0.15,0.16,0.05,0.02,2016-09-20,2018-05-29,2
ESPN: Sports Connection,WiiU,Sports,Ubisoft,Ubisoft Barcelona,3.0,0.36,0.2,0.0,0.13,0.03,2012-11-18,2020-09-14,0
LocoRoco 2,PSP,Platform,Sony Computer Entertainment,SCE Japan Studio,8.5,0.36,0.21,0.01,0.09,0.05,2009-02-10,2018-09-17,2
Mega Man 11,NS,Platform,Capcom,Capcom,8.0,0.36,0.29,0.03,0.0,0.03,2018-10-02,2018-09-12,4
Harvest Moon: The Tale of Two Towns,3DS,Simulation,Natsume,Marvelous Interactive,6.3,0.36,0.28,0.05,0.0,0.02,2011-11-01,2018-01-07,4
The Wonderful 101,WiiU,Action,Nintendo,PlatinumGames,8.0,0.36,0.15,0.08,0.11,0.02,2013-09-15,2018-03-14,4
Nintendo Labo: Toy-Con 02 Robot Kit,NS,Action,Nintendo,Nintendo EPD,7.0,0.36,0.18,0.08,0.08,0.03,2018-04-20,2018-11-18,4
Assassin's Creed III,WiiU,Action-Adventure,Ubisoft,Ubisoft Montreal,7.7,0.36,0.19,0.0,0.14,0.03,2012-11-18,2020-09-08,3
Call of Duty: Ghosts,WiiU,Shooter,Activision,Infinity Ward,8.8,0.35,0.22,0.01,0.09,0.03,2013-11-05,2018-03-21,2
Dead or Alive 5 Last Round,PS4,Fighting,Tecmo Koei,Team Ninja,7.1,0.35,0.09,0.09,0.13,0.04,2015-02-17,2018-11-20,4
Dragon Ball Z: Extreme Butoden,3DS,Fighting,Namco Bandai Games,Arc System Works,5.0,0.35,0.13,0.17,0.03,0.02,2015-10-20,2018-01-17,0
Madden NFL 13,PSV,Sports,EA Sports,EA Tiburon,6.2,0.35,0.28,0.0,0.0,0.07,2012-08-28,2018-01-04,1
The Eye of Judgment,PS3,Strategy,Sony Computer Entertainment,SCE Japan Studio,7.5,0.34,0.28,0.02,0.0,0.03,2007-10-24,2018-09-16,4
Dead or Alive 5,X360,Fighting,Tecmo Koei,Team Ninja,7.6,0.33,0.2,0.03,0.08,0.03,2012-09-25,2018-01-23,4
Kirby: Battle Royale,3DS,Fighting,Nintendo,HAL Laboratory,6.0,0.33,0.07,0.2,0.05,0.01,2018-01-19,2018-01-03,0
Tokyo Mirage Sessions #FE,WiiU,Role-Playing,Nintendo,Atlus,8.0,0.33,0.17,0.08,0.06,0.02,2016-06-24,2020-07-23,4
Ape Escape Academy,PSP,Party,Sony Computer Entertainment,Shift,5.3,0.33,0.13,0.0,0.15,0.05,2006-01-17,2018-09-18,0
Ultimate NES Remix,3DS,Action,Nintendo,Nintendo,7.0,0.33,0.19,0.0,0.11,0.03,2014-12-05,2018-05-29,4
Final Fantasy XI: Online,PS2,MMO,Square Enix,Square Enix,8.4,0.32,0.08,0.15,0.06,0.02,2004-09-21,2018-04-22,2
Chibi-Robo! Zip Lash,3DS,Platform,Nintendo,Nintendo,5.5,0.32,0.14,0.07,0.09,0.02,2015-10-09,2018-01-14,0
Payday 2,PS4,Shooter,505 Games,Overkill Software,6.5,0.32,0.12,0.0,0.14,0.05,2015-06-16,2018-01-08,4
Fuel,X360,Racing,Codemasters,Asobo Studio,6.6,0.31,0.09,0.0,0.18,0.04,2009-06-02,2020-08-05,4
Catherine,X360,Puzzle,Atlus,Atlus,7.9,0.31,0.2,0.03,0.06,0.02,2011-07-26,2018-09-12,4
Sonic Boom: Rise of Lyric,WiiU,Action-Adventure,Sega,Big Red Button,3.7,0.31,0.19,0.0,0.09,0.03,2014-11-11,2018-03-22,0
FIFA 15,PC,Sports,EA Sports,EA Canada,7.0,0.3,0.0,0.0,0.28,0.02,2014-09-23,2018-03-23,1
Fist of the North Star: Ken's Rage 2,PS3,Action,Tecmo Koei,Koei,5.0,0.3,0.0,0.3,0.0,0.0,2013-02-05,2019-01-03,0
Sing Party,WiiU,Party,Nintendo,FreeStyleGames,6.8,0.3,0.15,0.0,0.13,0.03,2012-11-18,2020-09-08,4
Monopoly for Nintendo Switch,NS,Board Game,Ubisoft,Engine Software,5.3,0.3,0.06,0.01,0.22,0.02,2017-10-31,2019-01-28,0
F1 2013,X360,Racing,Codemasters,Codemasters Birmingham,7.9,0.3,0.01,0.0,0.28,0.02,2013-10-08,2018-05-24,4
Sonic Boom: Shattered Crystal,3DS,Platform,Sega,Sanzaru Games,3.8,0.29,0.17,0.0,0.09,0.03,2014-11-11,2018-10-18,0
Assassin's Creed IV: Black Flag,WiiU,Action-Adventure,Ubisoft,Ubisoft Montreal,8.5,0.29,0.17,0.0,0.1,0.03,2013-10-29,2018-03-14,3
Ever Oasis,3DS,Role-Playing,Nintendo,GREZZO,8.1,0.29,0.13,0.05,0.08,0.02,2017-06-23,2018-01-14,2
Overcooked! 2,NS,Simulation,Sold Out,Ghost Town Games,8.4,0.29,0.17,0.01,0.09,0.03,2018-08-07,2018-06-14,2
The Legend of Legacy,3DS,Role-Playing,Atlus,Cattle Call,6.0,0.29,0.14,0.11,0.02,0.02,2015-10-13,2018-05-29,0
Phoenix Wright: Ace Attorney: Spirit of Justice,3DS,Adventure,Capcom,Capcom,8.1,0.29,0.0,0.29,0.0,0.0,2016-09-30,2018-01-14,2
Just Dance 2017,NS,Music,Ubisoft,Ubisoft Paris,6.5,0.29,0.07,0.0,0.2,0.02,2017-03-03,2018-04-06,4
Siren: Blood Curse,PS3,Action-Adventure,Sony Computer Entertainment,SCE Japan Studio,8.3,0.28,0.0,0.09,0.17,0.01,2008-07-24,2018-09-16,3
WarioWare Gold,3DS,Misc,Nintendo,Intelligent Systems,8.1,0.28,0.11,0.13,0.03,0.01,2018-08-03,2018-11-18,4
Star Trek Bridge Crew,PS4,Action,Ubisoft,Red Storm Entertainment,6.8,0.28,0.11,0.0,0.12,0.05,2017-05-30,2018-04-09,4
The Binding of Isaac: Afterbirth+,NS,Action,Nicalis,Nicalis,9.0,0.28,0.17,0.0,0.08,0.03,2017-03-17,2018-01-18,2
Gundam Versus,PS4,Action,Namco Bandai Games,Namco Bandai Games,7.3,0.28,0.08,0.18,0.0,0.02,2017-09-29,2018-01-12,4
Etrian Mystery Dungeon,3DS,Role-Playing,Atlus,Spike Chunsoft,7.6,0.28,0.11,0.14,0.01,0.01,2015-04-07,2018-07-26,4
Mass Effect 3,WiiU,Role-Playing,Electronic Arts,BioWare,9.2,0.28,0.14,0.0,0.12,0.02,2012-11-18,2018-01-09,2
Need for Speed: Most Wanted (2012),WiiU,Racing,Electronic Arts,Criterion Games,8.4,0.28,0.13,0.0,0.13,0.02,2013-03-19,2018-12-19,2
Metal Gear Solid V: Ground Zeroes,XOne,Action-Adventure,Konami Digital Entertainment,Kojima Productions,7.7,0.27,0.13,0.0,0.13,0.02,2014-03-18,2018-03-22,3
Batman: Arkham Origins Blackgate,3DS,Action-Adventure,Warner Bros. Interactive Entertainment,Armature Studio,7.0,0.27,0.16,0.0,0.09,0.02,2013-10-25,2018-12-10,3
Brain Age: Concentration Training,3DS,Misc,Nintendo,Nintendo,7.5,0.27,0.0,0.27,0.0,0.0,2013-02-10,2018-08-30,4
Skylanders SWAP Force,3DS,Platform,Activision,n-Space,7.7,0.27,0.12,0.0,0.13,0.02,2013-10-13,2018-01-16,4
The World Ends with You: Final Remix,NS,Role-Playing,Nintendo,Square Enix,7.4,0.27,0.14,0.03,0.08,0.02,2018-10-12,2019-03-30,4
Etrian Odyssey V: Beyond the Myth,3DS,Role-Playing,Atlus,Atlus,7.9,0.27,0.11,0.14,0.01,0.01,2017-10-17,2018-01-15,2
MLB 09: The Show,PSP,Sports,Sony Computer Entertainment,SCE San Diego Studio,8.8,0.27,0.24,0.0,0.0,0.02,2009-03-03,2018-12-04,1
Etrian Odyssey: Millennium Girl,3DS,Role-Playing,Atlus,Atlus,8.1,0.26,0.1,0.14,0.01,0.01,2013-10-01,2018-12-10,2
Stella Glow,3DS,Role-Playing,Atlus,imageepoch Inc.,7.5,0.26,0.17,0.06,0.01,0.02,2015-11-17,2018-05-30,4
Resident Evil: Revelations,X360,Shooter,Capcom,Capcom,7.4,0.26,0.12,0.02,0.1,0.02,2013-05-21,2018-03-16,4
Sonic Boom: Fire & Ice,3DS,Platform,Sega,Sanzaru Games,6.9,0.25,0.14,0.02,0.08,0.02,2016-09-27,2020-08-07,4
Pro Evolution Soccer 2014,X360,Sports,Konami Digital Entertainment,Konami,7.9,0.25,0.08,0.0,0.16,0.02,2013-09-24,2018-03-02,1
F1 2015,XOne,Racing,Codemasters,Codemasters Birmingham,5.7,0.25,0.09,0.0,0.15,0.02,2015-07-21,2018-05-23,0
LEGO The Hobbit,3DS,Action-Adventure,Warner Bros. Interactive Entertainment,TT Fusion,7.0,0.25,0.1,0.0,0.13,0.02,2014-04-08,2018-03-15,3
Spirit Camera: The Cursed Memoir,3DS,Action-Adventure,Nintendo,Tecmo Koei Games,5.7,0.25,0.15,0.06,0.02,0.02,2012-04-13,2018-08-30,0
Mega Man Legacy Collection 1+2,NS,Platform,Capcom,Digital Eclipse Software,8.5,0.25,0.2,0.03,0.0,0.02,2018-05-22,2018-07-04,2
Far Cry: Primal,PC,Action-Adventure,Ubisoft,Ubisoft Montreal,8.0,0.25,0.07,0.0,0.16,0.02,2016-03-01,2018-04-03,3
Game & Wario,WiiU,Party,Nintendo,Intelligent Systems,6.2,0.25,0.06,0.12,0.06,0.01,2013-06-23,2018-03-15,4
Sid Meier's Civilization VI,NS,Strategy,2K Games,Firaxis Games,9.4,0.25,0.12,0.01,0.11,0.02,2018-11-16,2018-12-19,2
A Way Out,XOne,Action,Electronic Arts,Hazelight,8.1,0.24,0.17,0.0,0.05,0.02,2018-03-23,2018-03-24,2
Disney Epic Mickey 2: The Power of Two,WiiU,Platform,Disney Interactive Studios,Junction Point Studios,5.9,0.24,0.13,0.01,0.08,0.02,2012-11-18,2020-09-13,0
Call of Duty: Modern Warfare Remastered,XOne,Shooter,Activision,Infinity Ward,8.2,0.24,0.16,0.0,0.06,0.02,2017-07-27,2018-01-14,2
7th Dragon III Code: VFD,3DS,Role-Playing,Sega,Sega,7.5,0.24,0.06,0.13,0.04,0.01,2016-07-12,2018-04-20,4
Darksiders II: Deathinitive Edition,PS4,Action-Adventure,Nordic Games,Gunfire Games,7.5,0.24,0.1,0.0,0.1,0.04,2015-10-30,2018-10-02,3
Fuel,PS3,Racing,Codemasters,Asobo Studio,6.6,0.24,0.08,0.0,0.11,0.04,2009-06-02,2020-08-05,4
Risen 2: Dark Waters,PS3,Role-Playing,Deep Silver,Piranha Bytes,5.5,0.23,0.04,0.01,0.14,0.03,2012-07-31,2018-01-03,0
Attack on Titan 2,NS,Action,Koei Tecmo,Omega Force,7.0,0.23,0.12,0.08,0.02,0.02,2018-03-20,2018-03-30,4
DC Universe Online,PC,MMO,Sony Online Entertainment,WBIE,7.0,0.23,0.16,0.0,0.06,0.02,2011-01-11,2018-09-15,4
DiRT 4,XOne,Racing,Deep Silver,Codemasters,9.2,0.23,0.11,0.0,0.1,0.02,2017-06-06,2018-11-23,2
Skylanders Imaginators,NS,Platform,Activision,Toys for Bob,6.9,0.23,0.1,0.0,0.1,0.02,2017-03-03,2018-03-26,4
Madden NFL 13,WiiU,Sports,EA Sports,EA Tiburon,7.2,0.23,0.21,0.0,0.0,0.02,2012-11-18,2018-01-04,1
Dragon Quest Builders: Revive Alefgard,NS,Role-Playing,Square Enix,Square Enix,8.0,0.22,0.07,0.07,0.07,0.01,2018-02-09,2018-02-04,2
F1 2016,XOne,Racing,Codemasters,Codemasters,8.8,0.22,0.09,0.0,0.12,0.02,2016-08-19,2018-05-14,2
NBA 06,PSP,Sports,Sony Computer Entertainment,SCE San Diego Studio,7.2,0.22,0.2,0.0,0.0,0.02,2005-10-04,2018-12-04,1
Return to PopoloCrois: A Story of Seasons Fairytale,3DS,Simulation,Xseed Games,Marvelous Entertainment,7.0,0.22,0.09,0.11,0.0,0.01,2016-03-01,2018-05-30,4
Life Is Strange: Before the Storm,PS4,Adventure,Square Enix,Deck Nine,7.5,0.22,0.11,0.02,0.06,0.03,2018-03-06,2018-07-09,4
Resident Evil: Revelations,WiiU,Shooter,Capcom,Capcom,7.5,0.22,0.09,0.03,0.08,0.02,2013-05-21,2018-03-16,4
Code Name: S.T.E.A.M.,3DS,Strategy,Nintendo,Intelligent Systems,8.0,0.22,0.14,0.02,0.05,0.02,2015-03-13,2019-01-04,4
Attack on Titan 2,PS4,Action,Koei Tecmo,Omega Force,7.8,0.22,0.09,0.06,0.04,0.03,2018-03-20,2018-03-30,4
Super Lucky's Tale,XOne,Platform,Microsoft Studios,Playful Corp.,6.5,0.22,0.13,0.0,0.07,0.02,2017-11-07,2018-01-18,4
Radiant Historia: Perfect Chronology,3DS,Role-Playing,Atlus,Atlus,8.1,0.21,0.11,0.06,0.03,0.01,2018-02-13,2018-03-01,2
Fallout 76,PC,Role-Playing,Bethesda Softworks,Bethesda Game Studios,3.7,0.21,0.12,0.0,0.07,0.02,2018-11-14,2018-12-02,0
Fate/Extella: The Umbral Star,NS,Action,Xseed Games,Marvelous Entertainment,8.0,0.21,0.1,0.04,0.06,0.02,2017-07-25,2018-01-02,4
FIFA 16,PC,Sports,EA Sports,EA Canada,8.5,0.21,0.07,0.0,0.13,0.02,2015-09-22,2018-04-01,1
LBX: Little Battlers eXperience,3DS,Action,Nintendo,Level 5,7.0,0.21,0.0,0.21,0.0,0.0,2015-08-21,2018-08-31,4
The Amazing Spider-Man (2012),3DS,Action-Adventure,Activision,Beenox,7.0,0.21,0.16,0.0,0.03,0.02,2012-06-26,2018-03-15,3
Star Trek: The Game,X360,Action-Adventure,Namco Bandai Games,Digital Extremes,5.2,0.21,0.12,0.0,0.08,0.02,2013-04-23,2018-10-29,0
Tom Clancy's Splinter Cell: Blacklist,PC,Action-Adventure,Ubisoft,Ubisoft Toronto,8.9,0.21,0.06,0.0,0.14,0.02,2013-08-20,2018-03-08,3
NBA 07,PSP,Sports,Sony Computer Entertainment,SCE San Diego Studio,6.9,0.2,0.18,0.0,0.0,0.02,2006-09-25,2018-12-04,1
Kung Fu Rider,PS3,Action,Sony Computer Entertainment,SCE Japan Studio,4.3,0.2,0.06,0.01,0.1,0.04,2010-09-17,2018-09-16,0
Code of Princess,3DS,Action-Adventure,Atlus,Studio Saizensen,7.2,0.2,0.16,0.03,0.0,0.02,2012-10-09,2019-01-05,3
Sleeping Dogs: Definitive Edition,XOne,Action-Adventure,Square Enix,United Front Games,7.5,0.2,0.1,0.0,0.09,0.02,2014-10-14,2018-05-01,3
Pac-Man & Galaga Dimensions,3DS,Action,Namco Bandai,Namco Bandai Games,5.7,0.19,0.1,0.04,0.04,0.01,2011-07-26,2019-01-05,0
F1 2017,XOne,Racing,Deep Silver,Codemasters,9.0,0.19,0.04,0.0,0.13,0.01,2017-08-25,2018-05-23,2
Tekken Tag Tournament 2,WiiU,Fighting,Namco Bandai Games,Bandai Namco Games,8.1,0.19,0.09,0.01,0.07,0.01,2012-11-18,2018-04-21,2
Project X Zone 2,3DS,Role-Playing,Namco Bandai Games,Monolith Soft,6.6,0.19,0.06,0.09,0.04,0.01,2016-02-16,2018-06-14,4
Valkyria Chronicles 4,NS,Strategy,Sega,Sega,8.6,0.19,0.12,0.02,0.04,0.02,2018-09-25,2018-09-11,2
Ninja Gaiden 3: Razor's Edge,WiiU,Action,Nintendo,Team Ninja,6.5,0.19,0.14,0.0,0.03,0.02,2012-11-18,2020-08-25,4
Captain Toad: Treasure Tracker,3DS,Puzzle,Nintendo,Nintendo EPD,8.5,0.19,0.06,0.08,0.04,0.01,2018-07-13,2018-11-18,2
Street Fighter 30th Anniversary Collection,NS,Fighting,Capcom,Capcom,8.5,0.19,0.12,0.01,0.04,0.02,2018-05-29,2018-11-07,2
Resident Evil: Revelations,PS4,Action,Capcom,Capcom,7.2,0.18,0.06,0.04,0.06,0.02,2017-08-29,2018-03-16,4
Axiom Verge,NS,Action,Thomas Happ Games,Thomas Happ Games,7.5,0.17,0.12,0.0,0.03,0.02,2017-11-21,2018-01-12,4
Katamari Damacy Reroll,NS,Action,Bandai Namco Entertainment,Bandai Namco Games,8.8,0.17,0.14,0.02,0.0,0.02,2018-12-07,2018-09-13,2
NBA 09: The Inside,PSP,Sports,Sony Computer Entertainment,SCE San Diego Studio,8.2,0.17,0.16,0.0,0.0,0.01,2008-10-07,2018-12-04,1
F1 2018,XOne,Racing,Codemasters,Codemasters Birmingham,8.5,0.17,0.05,0.0,0.1,0.01,2018-08-24,2018-09-26,2
Xenoblade Chronicles 2: Torna ~ The Golden Country,NS,Role-Playing,Nintendo,Monolith Soft,7.5,0.16,0.08,0.02,0.05,0.01,2018-09-21,2018-09-26,4
Gravity Rush Remastered,PS4,Action-Adventure,Sony Computer Entertainment,Bluepoint Games,7.9,0.16,0.02,0.05,0.06,0.02,2016-02-02,2018-09-23,3
Naruto Powerful Shippuden,3DS,Action-Adventure,Namco Bandai Games,Namco Bandai Games,8.0,0.16,0.08,0.04,0.02,0.01,2013-03-05,2018-11-06,3
Darksiders II,WiiU,Action-Adventure,THQ,Vigil Games,8.2,0.16,0.07,0.0,0.07,0.01,2012-11-18,2018-03-14,3
